name,category,brand,price,size
Red Wine,Alcohol,The Collection,8.99,750 ml
Cookies,Pantry,Milano,2.99,7.5 oz
Coca Cola,Beverages,Coca-Cola,4.99,12 pk
Jolly Rancher,Candy,Jolly Rancher,3.49,14 oz
Pizza,Frozen Foods,DiGiorno,5.8,32 oz
Apples,Fruit,Good and Gather,6.99,1 lb
Bread,Grains,Sara Lee,2.69,20 oz
Honey Bunches,Pantry,Post,3.99,20 oz
Broccoli,Produce,California Farms,0.99,4 oz
Gushers,Snacks,Betty Crocker,4.2,0.75 oz
Dino Nuggets,Frozen Foods,Yummy,4.99,24 oz
Chicken Taquitos,Frozen Foods,El Monterey,6.49,1.3 lb
Beer,Alcohol,Corona,8.99,6 pk
Macaroni,Frozen Foods,Lean Cuisine,2.69,8 oz
Swedish Meatballs,Frozen Foods,Lean Cuisine,2.69,9 oz
Pesto Tortellini,Frozen Foods,Amy's,4.49,9.5 oz
Uncrustables,Frozen Foods,Smucker's,3.59,8 oz
Mac and Cheese,Frozen Foods,Devour,3.99,12 oz
Biscuit Sausage,Frozen Foods,Jimmy Dean,6.19,17 oz
Organic Egg Nog,Dairy,Horizon,3.99,32 fl oz
Chocolate Milk,Dairy,Crystal Creamery,4.99,1 gal
2 % Chocolate Milk,Dairy,Nesquik,1.99,14 fl oz
Lactaid 2% Milk,Dairy,Lactaid,3.89,0.5 gal
Chicken Breasts,Meat,Good and Gather,8.99,72 oz
Free Range Chicken,Meat,Foster Farms,17.99,3 lb
Chicken Nuggets,Meat,Tyson,6.99,18 oz
White Claw,Alcohol,White Claw,14.99,6 pk
Brie Cheese,Dairy,Trader Joe's,5.99,8 oz
Penne Pasta,Grains,Barilla,1.29,1 lb
Baby Spinach,Produce,Trader Joe's,1.99,8 oz
Thai Dumplings,Frozen Foods,Trader Joe's,3.99,16 oz
Goat Cheese,Dairy,Trader Joe's,5.99,8 oz
Oat Milk,Dairy,Oatly,4.99,64 oz
Garlic Hummus,Snacks,Trader Joe's,2.99,8 oz
Chocolate Hummus,Snacks,Trader Joe's,3.99,8 oz
Chocolate Truffles,Candy,Trader Joe's,7.99,8 oz
Corn Tortilla Chips,Snacks,Trader Joe's,4.99,16 oz
Potato Chips,Snacks,Trader Joe's,2.99,12 oz
Amaretto,Alcohol,Trader Joe's,12.99,24 oz
Blueberries,Fruit,Trader Joe's,1.99,4 oz
Butternut Squash,Produce,Trader Joe's,3.99,8 oz
Bagels,Pantry,Trader Joe's,7.99,3 oz
Sparkling Cider,Beverages,Martinelli's,2.59,25 oz
Chocolate Almonds,Snacks,Trader Joe's,4.99,12 oz
Dried Mango,Snacks,Trader Joe's,7.99,8 oz
Almond Milk,Dairy,Trader Joe's,4.99,16 oz
Aged Parmesan,Dairy,Trader Joe's,14.99,12 oz